source_field,source_value,discharges,percentage,target_group,mapping_action,mapping_status,mapping_rationale
Patient Disposition,Inpatient Rehabilitation Facility,35392,1.6649,Inpatient Rehabilitation Facility,RETAIN,APPROVED,Retain released disposition detail to avoid hiding materially different post-discharge settings.
Patient Disposition,Hospice - Home,11159,0.5249,Hospice - Home,RETAIN,APPROVED,Retain released disposition detail to avoid hiding materially different post-discharge settings.
Patient Disposition,Hospice - Medical Facility,9846,0.4632,Hospice - Medical Facility,RETAIN,APPROVED,Retain released disposition detail to avoid hiding materially different post-discharge settings.
Patient Disposition,Psychiatric Hospital or Unit of Hosp,9726,0.4575,Psychiatric Hospital or Unit of Hosp,RETAIN,APPROVED,Retain released disposition detail to avoid hiding materially different post-discharge settings.
Patient Disposition,Facility w/ Custodial/Supportive Care,6261,0.2945,Facility w/ Custodial/Supportive Care,RETAIN,APPROVED,Retain released disposition detail to avoid hiding materially different post-discharge settings.
Patient Disposition,Another Type Not Listed,5161,0.2428,Another Type Not Listed,RETAIN,APPROVED,Retain released disposition detail to avoid hiding materially different post-discharge settings.
Patient Disposition,Court/Law Enforcement,3843,0.1808,Court/Law Enforcement,RETAIN,APPROVED,Retain released disposition detail to avoid hiding materially different post-discharge settings.
Patient Disposition,Medicare Cert Long Term Care Hospital,2712,0.1276,Medicare Cert Long Term Care Hospital,RETAIN,APPROVED,Retain released disposition detail to avoid hiding materially different post-discharge settings.
Patient Disposition,Cancer Center or Children's Hospital,1942,0.0914,Cancer Center or Children's Hospital,RETAIN,APPROVED,Retain released disposition detail to avoid hiding materially different post-discharge settings.
Patient Disposition,Hosp Basd Medicare Approved Swing Bed,1592,0.0749,Hosp Basd Medicare Approved Swing Bed,RETAIN,APPROVED,Retain released disposition detail to avoid hiding materially different post-discharge settings.
Patient Disposition,Medicaid Cert Nursing Facility,750,0.0353,Medicaid Cert Nursing Facility,RETAIN,APPROVED,Retain released disposition detail to avoid hiding materially different post-discharge settings.
Patient Disposition,Federal Health Care Facility,572,0.0269,Federal Health Care Facility,RETAIN,APPROVED,Retain released disposition detail to avoid hiding materially different post-discharge settings.
Patient Disposition,Critical Access Hospital,205,0.0096,Critical Access Hospital,RETAIN,APPROVED,Retain released disposition detail to avoid hiding materially different post-discharge settings.
Payment Typology 1,Medicare,867570,40.8123,Medicare,RETAIN,APPROVED,Retain released payer categories; no unsupported payer consolidation is applied.
Payment Typology 1,Medicaid,648713,30.5168,Medicaid,RETAIN,APPROVED,Retain released payer categories; no unsupported payer consolidation is applied.
Payment Typology 1,Private Health Insurance,299131,14.0718,Private Health Insurance,RETAIN,APPROVED,Retain released payer categories; no unsupported payer consolidation is applied.
Payment Typology 1,Blue Cross/Blue Shield,207377,9.7555,Blue Cross/Blue Shield,RETAIN,APPROVED,Retain released payer categories; no unsupported payer consolidation is applied.
Payment Typology 1,Self-Pay,29079,1.3679,Self-Pay,RETAIN,APPROVED,Retain released payer categories; no unsupported payer consolidation is applied.
Payment Typology 1,"Managed Care, Unspecified",27919,1.3134,"Managed Care, Unspecified",RETAIN,APPROVED,Retain released payer categories; no unsupported payer consolidation is applied.
Payment Typology 1,Miscellaneous/Other,24073,1.1324,Miscellaneous/Other,RETAIN,APPROVED,Retain released payer categories; no unsupported payer consolidation is applied.
Payment Typology 1,Federal/State/Local/VA,20518,0.9652,Federal/State/Local/VA,RETAIN,APPROVED,Retain released payer categories; no unsupported payer consolidation is applied.
Payment Typology 1,Department of Corrections,1374,0.0646,Department of Corrections,RETAIN,APPROVED,Retain released payer categories; no unsupported payer consolidation is applied.
Type of Admission,Emergency,1410175,66.3376,Emergency,RETAIN,APPROVED,Retain valid admission categories because each represents a distinct operational admission pathway.
Type of Admission,Elective,356802,16.7847,Elective,RETAIN,APPROVED,Retain valid admission categories because each represents a distinct operational admission pathway.
Type of Admission,Newborn,194249,9.1379,Newborn,RETAIN,APPROVED,Retain valid admission categories because each represents a distinct operational admission pathway.
Type of Admission,Urgent,153960,7.2426,Urgent,RETAIN,APPROVED,Retain valid admission categories because each represents a distinct operational admission pathway.
Type of Admission,Trauma,8067,0.3795,Trauma,RETAIN,APPROVED,Retain valid admission categories because each represents a distinct operational admission pathway.
Type of Admission,Not Available,2501,0.1177,Missing / Not Available,MISSING,APPROVED,Classified as unavailable and excluded from metrics requiring a known category.
